date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
0oLiu_Xino0;345232;345232;345232;345232;345232;345232;345232;345232;345232;345232;345232;345232;345232;345232;345232;346025;346025;346025;346025;346025;346025;346025;346025;346025;346025;346025;346025;346025;346025;346025;
0r33;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;774795;
0R4C13;2117142;2117637;2117637;2118159;2196525;2197479;2198471;2200544;2201516;2202011;2291163;2291658;2292675;2293647;2293647;2293647;2294646;2294646;2294646;2294646;2294646;2329275;2329275;2329275;2351050;2351050;2351527;2351995;2351995;2351995;
0Salty;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;5921448;
0T1S;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;32465;
0TryHard;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;194043;
0TY1;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;313477;
0w_;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;12507;
0X1X;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;101630;
0xGB;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;75975;
0xyg3ns;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;474821;
0zum;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16972;16974;16974;16974;16974;16974;
0__Doom__0;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;300446;
0___w___o;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;746200;
1000km;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;270861;
100mDirt;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;28224;
100mSpoon;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;106085;
100_stars;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;100299;
