date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
0Salty;1343;1343;1343;1343;1343;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;
0T1S;582020;582020;582020;582020;653245;653245;653245;653245;653245;653245;653245;653245;653245;653245;653245;722504;722504;722504;722504;722504;722504;722504;722504;722504;722504;722504;722504;722504;722504;722504;
0TryHard;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;50061;
0TY1;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;97364;
0w_;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;
0X1X;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;51482;
0xGB;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;3523;
0xyg3ns;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;1001;
0zum;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;518012;
0__Doom__0;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;480;
0___w___o;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3425;3428;3428;3428;3428;3428;3436;
1000km;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;43227;
100mDirt;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;
100mSpoon;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;94;
100_stars;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;9370;
101moon_YT;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;
10247;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;148911;
10flame12;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;15007;
111robloxdude;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;
114EXP;51159;51159;51162;51162;51162;51162;51162;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;51178;
115z3;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;754373;
11oyd;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;296968;
