date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
0R4C13;348756;350100;350100;351444;358610;359954;362770;366866;369554;370898;377746;377746;380434;381778;381778;381778;384530;384530;384530;384530;384530;385874;385874;385874;387282;387282;388626;390034;390034;390034;
0Salty;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;966883;
0T1S;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;
0TryHard;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;1045642;
0TY1;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;9331296;
0w_;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;1044;
0X1X;2245052;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;2245058;
0xGB;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;2037045;
0xyg3ns;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;78;
0zum;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;228;
0__Doom__0;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;147688;
0___w___o;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;175;
1000km;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;
100mDirt;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;
100mSpoon;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;5627;
100_stars;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;1556;
101moon_YT;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;96793;
10247;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;567463;
10flame12;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;7897459;
